CODICE,DESCRIZIONE
P61.8,ALTRI DISTURBI EMATOLOGICI DEL PERIODO PERINATALE - ALTRI DISTURBI EMATOLOGICI SPECIFICATI DELL'ETA' PERINATALE
P61.9,ALTRI DISTURBI EMATOLOGICI DEL PERIODO PERINATALE - DISTURBO EMATOLOGICO PERINATALE NON SPECIFICATO
P70.0,DISTURBI TRANSITORI DEL METABOLISMO DEI CARBOIDRATI SPECIFICI DEL FETO E DEL NEONATO - SINDROME DEL NEONATO DI MADRE CON DIABETE GRAVIDICO
P70.1,DISTURBI TRANSITORI DEL METABOLISMO DEI CARBOIDRATI SPECIFICI DEL FETO E DEL NEONATO - SINDROME DEL NEONATO DI MADRE DIABETICA
P70.2,DISTURBI TRANSITORI DEL METABOLISMO DEI CARBOIDRATI SPECIFICI DEL FETO E DEL NEONATO - DIABETE MELLITO DEL NEONATO
P70.3,DISTURBI TRANSITORI DEL METABOLISMO DEI CARBOIDRATI SPECIFICI DEL FETO E DEL NEONATO - IPOGLICEMIA IATROGENA DEL NEONATO
P70.4,DISTURBI TRANSITORI DEL METABOLISMO DEI CARBOIDRATI SPECIFICI DEL FETO E DEL NEONATO - ALTRA IPOGLICEMIA DEL NEONATO
P70.8,DISTURBI TRANSITORI DEL METABOLISMO DEI CARBOIDRATI SPECIFICI DEL FETO E DEL NEONATO - ALTRI DISTURBI TRANSITORI DEL METABOLISMO DEI CARBOIDRATI DEL FETO E DEL NEONATO
P70.9,DISTURBI TRANSITORI DEL METABOLISMO DEI CARBOIDRATI SPECIFICI DEL FETO E DEL NEONATO - DISTURBO TRANSITORIO NEL METABOLISMO DEI CARBOIDRATI DEL FETO E DEL NEONATO NON SPECIFICATO
P71.0,DISTURBI TRANSITORI DEL METABOLISMO DEL CALCIO E DEL MAGNESIO DEL NEONATO - IPOCALCEMIA DA LATTE VACCINO DEL NEONATO
P71.1,DISTURBI TRANSITORI DEL METABOLISMO DEL CALCIO E DEL MAGNESIO DEL NEONATO - ALTRA IPOCALCEMIA DEL NEONATO
P71.2,DISTURBI TRANSITORI DEL METABOLISMO DEL CALCIO E DEL MAGNESIO DEL NEONATO - IPOMAGNESEMIA DEL NEONATO
P71.3,DISTURBI TRANSITORI DEL METABOLISMO DEL CALCIO E DEL MAGNESIO DEL NEONATO - TETANIA DEL NEONATO SENZA DEFICIT DI CALCIO O MAGNESIO
P71.4,DISTURBI TRANSITORI DEL METABOLISMO DEL CALCIO E DEL MAGNESIO DEL NEONATO - IPOPARATIROIDISMO TRANSITORIO DEL NEONATO
P71.8,DISTURBI TRANSITORI DEL METABOLISMO DEL CALCIO E DEL MAGNESIO DEL NEONATO - ALTRI DISTURBI TRANSITORI DEL METABOLISMO DEL CALCIO E DEL MAGNESIO DEL NEONATO
P71.9,DISTURBI TRANSITORI DEL METABOLISMO DEL CALCIO E DEL MAGNESIO DEL NEONATO - DISTURBO TRANSITORIO DEL METABOLISMO DEL CALCIO E DEL MAGNESIO DEL NEONATO NON SPECIFICATO
P72.0,ALTRI DISTURBI ENDOCRINI TRANSITORI DEL NEONATO - GOZZO DEL NEONATO NON CLASSIFICATO ALTROVE
P72.1,ALTRI DISTURBI ENDOCRINI TRANSITORI DEL NEONATO - IPERTIROIDISMO TRANSITORIO DEL NEONATO
P72.2,ALTRI DISTURBI ENDOCRINI TRANSITORI DEL NEONATO - ALTRI DISTURBI TRANSITORI DELLA FUNZIONE TIROIDEA DEL NEONATO NON CLASSIFICATI ALTROVE
P72.8,"ALTRI DISTURBI ENDOCRINI TRANSITORI DEL NEONATO - ALTRI DISTURBI ENDOCRINI TRANSITORI DEL NEONATO, SPECIFICATI"
P72.9,"ALTRI DISTURBI ENDOCRINI TRANSITORI DEL NEONATO - DISTURBO ENDOCRINO TRANSITORIO DEL NEONATO, NON SPECIFICATO"
P74.0,ALTRI DISTURBI ELETTROLITICI E METABOLICI TRANSITORI DEL NEONATO - ACIDOSI METABOLICA TARDIVA DEL NEONATO
P74.1,ALTRI DISTURBI ELETTROLITICI E METABOLICI TRANSITORI DEL NEONATO - DISIDRATAZIONE DEL NEONATO
P74.2,ALTRI DISTURBI ELETTROLITICI E METABOLICI TRANSITORI DEL NEONATO - DISTURBI DEL BILANCIO DEL SODIO DEL NEONATO
P74.3,ALTRI DISTURBI ELETTROLITICI E METABOLICI TRANSITORI DEL NEONATO - DISTURBI DEL BILANCIO DEL POTASSIO DEL NEONATO
P74.4,ALTRI DISTURBI ELETTROLITICI E METABOLICI TRANSITORI DEL NEONATO - ALTRI DISTURBI ELETTROLITICI TRANSITORI DEL NEONATO
P74.5,ALTRI DISTURBI ELETTROLITICI E METABOLICI TRANSITORI DEL NEONATO - TIROSINEMIA TRANSITORIA DEL NEONATO
P74.8,ALTRI DISTURBI ELETTROLITICI E METABOLICI TRANSITORI DEL NEONATO - ALTRI DISTURBI METABOLICI TRANSITORI DEL NEONATO
P74.9,ALTRI DISTURBI ELETTROLITICI E METABOLICI TRANSITORI DEL NEONATO - DISTURBO METABOLICO TRANSITORIO DEL NEONATO NON SPECIFICATO
P75,ILEO DA MECONIO IN FIBROSI CISTICA (E84.1+)
P76.0,ALTRA OSTRUZIONE INTESTINALE DEL NEONATO - SINDROME DA TAPPO DI MECONIO
P76.1,ALTRA OSTRUZIONE INTESTINALE DEL NEONATO - ILEO TRANSITORIO DEL NEONATO
P76.2,ALTRA OSTRUZIONE INTESTINALE DEL NEONATO - OSTRUZIONE INTESTINALE DA LATTE ISPESSITO
P76.8,ALTRA OSTRUZIONE INTESTINALE DEL NEONATO - ALTRA OSTRUZIONE INTESTINALE DEL NEONATO
P76.9,ALTRA OSTRUZIONE INTESTINALE DEL NEONATO - OSTRUZIONI INTESTINALI DEL NEONATO NON SPECIFICATA
P77,ENTEROCOLITE NECROTIZZANTE DEL FETO E DEL NEONATO
P78.0,ALTRI DISTURBI PERINATALI DELL’APPARATO DIGERENTE - PERFORAZIONE INTESTINALE PERINATALE
P78.1,ALTRI DISTURBI PERINATALI DELL’APPARATO DIGERENTE - ALTRA PERITONITE PERINATALE
P78.2,ALTRI DISTURBI PERINATALI DELL’APPARATO DIGERENTE - EMATEMESI E MELENA DEL NEONATO DA INGESTIONE DI SANGUE MATERNO
P78.3,ALTRI DISTURBI PERINATALI DELL’APPARATO DIGERENTE - DIARREA NON INFETTIVA DEL NEONATO
P78.8,ALTRI DISTURBI PERINATALI DELL’APPARATO DIGERENTE - ALTRI DISTURBI SPECIFICATI DELL'APPARATO DIGERENTE DEL NEONATO
P78.9,"ALTRI DISTURBI PERINATALI DELL’APPARATO DIGERENTE - DISTURBO PERINATALE DELL'APPARATO DIGERENTE, NON SPECIFICATO"
P80.0,IPOTERMIA DEL NEONATO - SINDROME IPOTERMICA DEL NEONATO
P80.8,IPOTERMIA DEL NEONATO - ALTRA IPOTERMIA DEL NEONATO
P80.9,IPOTERMIA DEL NEONATO - IPOTERMIA DEL NEONATO NON SPECIFICATA
P81.0,ALTRI DISTURBI DELLA TERMOREGOLAZIONE DEL NEONATO - IPERTERMIA AMBIENTALE DEL NEONATO
P81.8,ALTRI DISTURBI DELLA TERMOREGOLAZIONE DEL NEONATO - ALTRI DISTURBI SPECIFICATI DELLA TERMOREGOLAZIONE DEL NEONATO
P81.9,ALTRI DISTURBI DELLA TERMOREGOLAZIONE DEL NEONATO - DISTURBO DELLA TERMOREGOLAZIONE DEL NEONATO NON SPECIFICATO
P83.0,ALTRE CONDIZIONI MORBOSE DELLA CUTE SPECIFICHE DEL FETO E DEL NEONATO - SCLEREMA DEL NEONATO
P83.1,ALTRE CONDIZIONI MORBOSE DELLA CUTE SPECIFICHE DEL FETO E DEL NEONATO - ERITEMA TOSSICO DEL NEONATO
P83.2,ALTRE CONDIZIONI MORBOSE DELLA CUTE SPECIFICHE DEL FETO E DEL NEONATO - IDROPE FETALE NON DA MALATTIA EMOLITICA
P83.3,ALTRE CONDIZIONI MORBOSE DELLA CUTE SPECIFICHE DEL FETO E DEL NEONATO - ALTRO E NON SPECIFICATO EDEMA DEL FETO E DEL NEONATO
P83.4,ALTRE CONDIZIONI MORBOSE DELLA CUTE SPECIFICHE DEL FETO E DEL NEONATO - INGORGO MAMMARIO DEL NEONATO
P83.5,ALTRE CONDIZIONI MORBOSE DELLA CUTE SPECIFICHE DEL FETO E DEL NEONATO - IDROCELE CONGENITO
P83.6,ALTRE CONDIZIONI MORBOSE DELLA CUTE SPECIFICHE DEL FETO E DEL NEONATO - POLIPO OMBELICALE DEL NEONATO
P83.8,"ALTRE CONDIZIONI MORBOSE DELLA CUTE SPECIFICHE DEL FETO E DEL NEONATO - ALTRE CONDIZIONI MORBOSE SPECIFICATE DELLA CUTE, SPECIFICHE DEL FETO E DEL NEONATO"
P83.9,"ALTRE CONDIZIONI MORBOSE DELLA CUTE SPECIFICHE DEL FETO E DEL NEONATO - CONDIZIONE MORBOSA DELLA CUTE, SPECIFICA DEL FETO E DEL NEONATO, NON SPECIFICATA"
P90,CONVULSIONI DEL NEONATO
P91.0,ALTRI DISTURBI CEREBRALI DEL NEONATO - ISCHEMIA CEREBRALE DEL NEONATO
P91.1,ALTRI DISTURBI CEREBRALI DEL NEONATO - CISTI PERIVENTRICOLARI ACQUISITE DEL NEONATO
P91.2,ALTRI DISTURBI CEREBRALI DEL NEONATO - LEUCOMALACIA CEREBRALE DEL NEONATO
P91.3,ALTRI DISTURBI CEREBRALI DEL NEONATO - IRRITABILITA' CEREBRALE DEL NEONATO
P91.4,ALTRI DISTURBI CEREBRALI DEL NEONATO - DEPRESSIONE CEREBRALE DEL NEONATO
P91.5,ALTRI DISTURBI CEREBRALI DEL NEONATO - COMA DEL NEONATO
P91.6,ALTRI DISTURBI CEREBRALI DEL NEONATO - ENCEFALOPATIA IPOSSICO-ISCHEMICA DEL NEONATO
P91.7,"ALTRI DISTURBI CEREBRALI DEL NEONATO - IDROCEFALO
ACQUISITO DEL NEONATO"
P91.8,"ALTRI DISTURBI CEREBRALI DEL NEONATO - ALTRI DISTURBI CEREBRALI, SPECIFICATI, DEL NEONATO"
P91.9,ALTRI DISTURBI CEREBRALI DEL NEONATO - DISTURBO CEREBRALE DEL NEONATO NON SPECIFICATO
P92.0,PROBLEMI D’ALIMENTAZIONE DEL NEONATO - VOMITO IN NEONATO
P92.1,PROBLEMI D’ALIMENTAZIONE DEL NEONATO - RIGURGITO E RUMINAZIONE IN NEONATO
P92.2,PROBLEMI D’ALIMENTAZIONE DEL NEONATO - SUZIONE LENTA DI NEONATO
P92.3,PROBLEMI D’ALIMENTAZIONE DEL NEONATO - SOTTOALIMENTAZIONE DEL NEONATO
P92.4,PROBLEMI D’ALIMENTAZIONE DEL NEONATO - IPERALIMENTAZIONE DEL NEONATO
P92.5,PROBLEMI D’ALIMENTAZIONE DEL NEONATO - DIFFICOLTA' DI SUZIONE DEL NEONATO
P92.8,PROBLEMI D’ALIMENTAZIONE DEL NEONATO - ALTRI PROBLEMI D'ALIMENTAZIONE DEL NEONATO
P92.9,PROBLEMI D’ALIMENTAZIONE DEL NEONATO - PROBLEMA D'ALIMENTAZIONE DEL NEONATO NON SPECIFICATO
P93,REAZIONI ED INTOSSICAZIONE DA FARMACI SOMMINISTRATI AL FETO ED AL NEONATO
P94.0,DISTURBI DEL TONO MUSCOLARE DEL NEONATO - MIASTENIA GRAVE TRANSITORIA DEL NEONATO
P94.1,DISTURBI DEL TONO MUSCOLARE DEL NEONATO - IPERTONIA CONGENITA
P94.2,DISTURBI DEL TONO MUSCOLARE DEL NEONATO - IPOTONIA CONGENITA
P94.8,DISTURBI DEL TONO MUSCOLARE DEL NEONATO - ALTRI DISTURBI DEL TONO MUSCOLARE DEL NEONATO
P94.9,DISTURBI DEL TONO MUSCOLARE DEL NEONATO - DISTURBO DEL TONO MUSCOLARE DEL NEONATO NON SPECIFICATO
P95,MORTE FETALE PER CAUSA NON SPECIFICATA
P96.0,ALTRE CONDIZIONI MORBOSE CHE HANNO ORIGINE NEL PERIODO PERINATALE - INSUFFICIENZA RENALE CONGENITA
P96.1,ALTRE CONDIZIONI MORBOSE CHE HANNO ORIGINE NEL PERIODO PERINATALE - SINTOMI DI ASTINENZA DEL NEONATO PER TOSSICODIPENDENZA MATERNA
P96.2,ALTRE CONDIZIONI MORBOSE CHE HANNO ORIGINE NEL PERIODO PERINATALE - SINTOMI DA ASTINENZA DA USO TERAPEUTICO FARMACI  UTILIZZATI NEL NEONATO
P96.3,ALTRE CONDIZIONI MORBOSE CHE HANNO ORIGINE NEL PERIODO PERINATALE - SUTURE CRANICHE LARGHE DEL NEONATO
P96.4,ALTRE CONDIZIONI MORBOSE CHE HANNO ORIGINE NEL PERIODO PERINATALE - INTERRUZIONE DI GRAVIDANZA RIFERITA A FETO O NEONATO
P96.5,ALTRE CONDIZIONI MORBOSE CHE HANNO ORIGINE NEL PERIODO PERINATALE - COMPLICANZE DI PROCEDURE INTRAUTERINE NON CLASSIFICATE ALTROVE
P96.8,ALTRE CONDIZIONI MORBOSE CHE HANNO ORIGINE NEL PERIODO PERINATALE - ALTRE CONDIZIONI MORBOSE SPECIFICATE CHE HANNO ORIGINE NEL PERIODO PERINATALE
P96.9,"ALTRE CONDIZIONI MORBOSE CHE HANNO ORIGINE NEL PERIODO PERINATALE - CONDIZIONE MORBOSA CHE HA ORIGINE NEL PERIODO PERINATALE, NON SPECIFICATA"
Q00.0,ANENCEFALIA E MALFORMAZIONI SIMILARI - ANENCEFALIA
Q00.1,ANENCEFALIA E MALFORMAZIONI SIMILARI - CRANIORACHISCHISI
Q00.2,ANENCEFALIA E MALFORMAZIONI SIMILARI - INIENCEFALIA
Q01.0,ENCEFALOCELE - ENCEFALOCELE FRONTALE
Q01.1,ENCEFALOCELE - ENCEFALOCELE NASOFRONTALE
Q01.2,ENCEFALOCELE - ENCEFALOCELE OCCIPITALE
Q01.8,ENCEFALOCELE - ENCEFALOCELE DI ALTRE SEDI
Q01.9,ENCEFALOCELE - ENCEFALOCELE NON SPECIFICATO
Q02,MICROCEFALIA
Q03.0,IDROCEFALO CONGENITO - MALFORMAZIONI DELL'ACQUEDOTTO DI SILVIO
Q03.1,IDROCEFALO CONGENITO - ATRESIA DEI FORAMI DI MAGENDIE E DI LUSCHKA
Q03.8,IDROCEFALO CONGENITO - ALTRO IDROCEFALO CONGENITO
Q03.9,IDROCEFALO CONGENITO - IDROCEFALO CONGENITO NON SPECIFICATO
Q04.0,ALTRE MALFORMAZIONI CONGENITE DELL’ENCEFALO - MALFORMAZIONI CONGENITE DEL CORPO CALLOSO
Q04.1,ALTRE MALFORMAZIONI CONGENITE DELL’ENCEFALO - ARINENCEFALIA
Q04.2,ALTRE MALFORMAZIONI CONGENITE DELL’ENCEFALO - OLOPROSENCEFALIA
Q04.3,"ALTRE MALFORMAZIONI CONGENITE DELL’ENCEFALO - ALTRE DIFETTI, PER RIDUZIONE, DELL'ENCEFALO:"
Q04.4,ALTRE MALFORMAZIONI CONGENITE DELL’ENCEFALO - DISPLASIA SETTO OTTICA
Q04.5,ALTRE MALFORMAZIONI CONGENITE DELL’ENCEFALO - MEGALOENCEFALIA
Q04.6,ALTRE MALFORMAZIONI CONGENITE DELL’ENCEFALO - CISTI CEREBRALI CONGENITE
Q04.8,ALTRE MALFORMAZIONI CONGENITE DELL’ENCEFALO - ALTRE MALFORMAZIONI CONGENITE SPECIFICATE DELL'ENCEFALO
Q04.9,ALTRE MALFORMAZIONI CONGENITE DELL’ENCEFALO - MALFORMAZIONE CONGENITA DELL'ENCEFALO NON SPECIFICATA
Q05.0,SPINA BIFIDA - SPINA BIFIDA CERVICALE CON IDROCEFALO
Q05.1,SPINA BIFIDA - SPINA BIFIDA TORACICA CON IDROCEFALO
Q05.2,SPINA BIFIDA - SPINA BIFIDA LOMBARE CON IDROCEFALO
Q05.3,SPINA BIFIDA - SPINA BIFIDA SACRALE CON IDROCEFALO
Q05.4,"SPINA BIFIDA - SPINA BIFIDA, NON SPECIFICATA, CON IDROCEFALO"
Q05.5,SPINA BIFIDA - SPINA BIFIDA CERVICALE SENZA IDROCEFALO
Q05.6,SPINA BIFIDA - SPINA BIFIDA TORACICA SENZA IDROCEFALO
Q05.7,SPINA BIFIDA - SPINA BIFIDA LOMBARE SENZA IDROCEFALO
Q05.8,SPINA BIFIDA - SPINA BIFIDA SACRALE SENZA IDROCEFALO
Q05.9,SPINA BIFIDA - SPINA BIFIDA NON SPECIFICATA
Q06.0,ALTRE MALFORMAZIONI CONGENITE DEL MIDOLLO SPINALE - AMIELIA
Q06.1,ALTRE MALFORMAZIONI CONGENITE DEL MIDOLLO SPINALE - IPOPLASIA E DISPLASIA DEL MIDOLLO SPINALE
Q06.2,ALTRE MALFORMAZIONI CONGENITE DEL MIDOLLO SPINALE - DIASTEMATOMIELIA
Q06.3,ALTRE MALFORMAZIONI CONGENITE DEL MIDOLLO SPINALE - ALTRE MALFORMAZIONI CONGENITE DELLA CAUDA EQUINA
Q06.4,ALTRE MALFORMAZIONI CONGENITE DEL MIDOLLO SPINALE - IDROMIELIA
Q06.8,ALTRE MALFORMAZIONI CONGENITE DEL MIDOLLO SPINALE - ALTRE MALFORMAZIONI CONGENITE SPECIFICATE DEL MIDOLLO SPINALE
Q06.9,ALTRE MALFORMAZIONI CONGENITE DEL MIDOLLO SPINALE - MALFORMAZIONE CONGENITA DEL MIDOLLO SPINALE NON SPECIFICATA
Q07.0,ALTRE MALFORMAZIONI CONGENITE DEL SISTEMA NERVOSO - SINDROME DI ARNOLD CHIARI
Q07.8,ALTRE MALFORMAZIONI CONGENITE DEL SISTEMA NERVOSO - ALTRE MALFORMAZIONI CONGENITE SPECIFICATE DEL SISTEMA NERVOSO
Q07.9,ALTRE MALFORMAZIONI CONGENITE DEL SISTEMA NERVOSO - MALFORMAZIONE CONGENITA DEL SISTEMA NERVOSO NON SPECIFICATA
Q10.0,"MALFORMAZIONI CONGENITE DELLE PALPEBRE, DELL'APPARATO LACRIMALE E DELL'ORBITA - PTOSI CONGENITA"
Q10.1,"MALFORMAZIONI CONGENITE DELLE PALPEBRE, DELL'APPARATO LACRIMALE E DELL'ORBITA - ECTROPION CONGENITO"
Q10.2,"MALFORMAZIONI CONGENITE DELLE PALPEBRE, DELL'APPARATO LACRIMALE E DELL'ORBITA - ENTROPION CONGENITO"
Q10.3,"MALFORMAZIONI CONGENITE DELLE PALPEBRE, DELL'APPARATO LACRIMALE E DELL'ORBITA - ALTRE MALFORMAZIONI CONGENITE DELLE PALPEBRE"
Q10.4,"MALFORMAZIONI CONGENITE DELLE PALPEBRE, DELL'APPARATO LACRIMALE E DELL'ORBITA - ASSENZA E AGENESIA DELL'APPARATO LACRIMALE"
Q10.5,"MALFORMAZIONI CONGENITE DELLE PALPEBRE, DELL'APPARATO LACRIMALE E DELL'ORBITA - STENOSI O RESTRINGIMENTO CONGENITO DEL CONDOTTO LACRIMALE"
Q10.6,"MALFORMAZIONI CONGENITE DELLE PALPEBRE, DELL'APPARATO LACRIMALE E DELL'ORBITA - ALTRE MALFORMAZIONI CONGENITE DELL'APPARATO LACRIMALE"
Q10.7,"MALFORMAZIONI CONGENITE DELLE PALPEBRE, DELL'APPARATO LACRIMALE E DELL'ORBITA - MALFORMAZIONE CONGENITA DELL'ORBITA"
Q11.0,"ANOFTALMO, MICROFTALMO E MACROFTALMO - OCCHIO CISTICO"
Q11.1,"ANOFTALMO, MICROFTALMO E MACROFTALMO - ALTRE FORME DI ANOFTALMO"
Q11.2,"ANOFTALMO, MICROFTALMO E MACROFTALMO - MICROFTALMIA"
Q11.3,"ANOFTALMO, MICROFTALMO E MACROFTALMO - MACROFTALMIA"
Q12.0,MALFORMAZIONI CONGENITE DEL CRISTALLINO - CATARATTA CONGENITA
Q12.1,MALFORMAZIONI CONGENITE DEL CRISTALLINO - LUSSAZIONE CONGENITA DEL CRISTALLINO
Q12.2,MALFORMAZIONI CONGENITE DEL CRISTALLINO - COLOBOMA DEL CRISTALLINO
Q12.3,MALFORMAZIONI CONGENITE DEL CRISTALLINO - AFACHIA CONGENITA
Q12.4,MALFORMAZIONI CONGENITE DEL CRISTALLINO - SFEROFACHIA
Q12.8,MALFORMAZIONI CONGENITE DEL CRISTALLINO - ALTRE MALFORMAZIONI CONGENITE DEL CRISTALLINO
Q12.9,MALFORMAZIONI CONGENITE DEL CRISTALLINO - MALFORMAZIONE CONGENITA DEL CRISTALLINO NON SPECIFICATA
Q13.0,MALFORMAZIONI CONGENITE DEL SEGMENTO ANTERIORE DELL'OCCHIO - COLOBOMA DELL'IRIDE
Q13.1,MALFORMAZIONI CONGENITE DEL SEGMENTO ANTERIORE DELL'OCCHIO - ASSENZA DELL'IRIDE
Q13.2,MALFORMAZIONI CONGENITE DEL SEGMENTO ANTERIORE DELL'OCCHIO - ALTRE MALFORMAZIONI CONGENITE DELL'IRIDE
Q13.3,MALFORMAZIONI CONGENITE DEL SEGMENTO ANTERIORE DELL'OCCHIO - OPACITA' CORNEALE CONGENITA
Q13.4,MALFORMAZIONI CONGENITE DEL SEGMENTO ANTERIORE DELL'OCCHIO - ALTRE MALFORMAZIONI CONGENITE CORNEALI
Q13.5,MALFORMAZIONI CONGENITE DEL SEGMENTO ANTERIORE DELL'OCCHIO - SCLERA BLU
Q13.8,MALFORMAZIONI CONGENITE DEL SEGMENTO ANTERIORE DELL'OCCHIO - ALTRE MALFORMAZIONI CONGENITE DEL SEGMENTO ANTERIORE DELL'OCCHIO
Q13.9,"MALFORMAZIONI CONGENITE DEL SEGMENTO ANTERIORE DELL'OCCHIO - MALFORMAZIONE CONGENITA, NON SPECIFICATA, DEL SEGMENTO ANTERIORE DELL'OCCHIO"
Q14.0,MALFORMAZIONI CONGENITE DEL SEGMENTO POSTERIORE DELL'OCCHIO - MALFORMAZIONE CONGENITA DELL'UMORE VITREO
Q14.1,MALFORMAZIONI CONGENITE DEL SEGMENTO POSTERIORE DELL'OCCHIO - MALFORMAZIONE CONGENITA DELLA RETINA
Q14.2,MALFORMAZIONI CONGENITE DEL SEGMENTO POSTERIORE DELL'OCCHIO - MALFORMAZIONE CONGENITA DELLA PAPILLA OTTICA
Q14.3,MALFORMAZIONI CONGENITE DEL SEGMENTO POSTERIORE DELL'OCCHIO - MALFORMAZIONE CONGENITA DELLA COROIDE
Q14.8,MALFORMAZIONI CONGENITE DEL SEGMENTO POSTERIORE DELL'OCCHIO - ALTRE MALFORMAZIONI CONGENITE DEL SEGMENTO POSTERIORE DELL'OCCHIO
Q14.9,MALFORMAZIONI CONGENITE DEL SEGMENTO POSTERIORE DELL'OCCHIO - MALFORMAZIONE CONGENITA NON SPECIFICATA DEL SEGMENTO POSTERIORE DELL'OCCHIO
Q15.0,ALTRE MALFORMAZIONI CONGENITE DELL'OCCHIO - GLAUCOMA CONGENITO
Q15.8,ALTRE MALFORMAZIONI CONGENITE DELL'OCCHIO - ALTRE MALFORMAZIONI CONGENITE SPECIFICATE DELL'OCCHIO
Q15.9,ALTRE MALFORMAZIONI CONGENITE DELL'OCCHIO - MALFORMAZIONE CONGENITA DELL'OCCHIO NON SPECIFICATA
Q16.0,MALFORMAZIONI CONGENITE DELL'ORECCHIO CAUSANTI DEFICIT UDITIVO - ASSENZA CONGENITA DI PADIGLIONE AURICOLARE
Q16.1,"MALFORMAZIONI CONGENITE DELL'ORECCHIO CAUSANTI DEFICIT UDITIVO - ASSENZA, ATRESIA E RESTRINGIMENTO CONGENITI DI CONDOTTO UDITIVO (ESTERNO)"
Q16.2,MALFORMAZIONI CONGENITE DELL'ORECCHIO CAUSANTI DEFICIT UDITIVO - ASSENZA CONGENITA DELLA TROMBA DI EUSTACHIO
Q16.3,MALFORMAZIONI CONGENITE DELL'ORECCHIO CAUSANTI DEFICIT UDITIVO - MALFORMAZIONE CONGENITA DELLA CATENA OSSICULARE
Q16.4,MALFORMAZIONI CONGENITE DELL'ORECCHIO CAUSANTI DEFICIT UDITIVO - ALTRE MALFORMAZIONI CONGENITE DELL'ORECCHIO MEDIO
Q16.5,MALFORMAZIONI CONGENITE DELL'ORECCHIO CAUSANTI DEFICIT UDITIVO - MALFORMAZIONI CONGENITE DELL'ORECCHIO INTERNO
Q16.9,"MALFORMAZIONI CONGENITE DELL'ORECCHIO CAUSANTI DEFICIT UDITIVO - MALFORMAZIONE CONGENITA DI ORECCHIO CAUSANTE DEFICIT UDITIVO, NON SPECIFICATA"
Q17.0,ALTRE MALFORMAZIONI CONGENITE DELL'ORECCHIO - PADIGLIONE AURICOLARE ACCESSORIO
Q17.1,ALTRE MALFORMAZIONI CONGENITE DELL'ORECCHIO - MACROTIA
Q17.2,ALTRE MALFORMAZIONI CONGENITE DELL'ORECCHIO - MICROTIA
Q17.3,ALTRE MALFORMAZIONI CONGENITE DELL'ORECCHIO - ALTRA MALFORMAZIONE DELL'ORECCHIO
Q17.4,ALTRE MALFORMAZIONI CONGENITE DELL'ORECCHIO - MALPOSIZIONE DELL'ORECCHIO
Q17.5,ALTRE MALFORMAZIONI CONGENITE DELL'ORECCHIO - PROMINENZA DEL PADIGLIONE AURICOLARE
Q17.8,ALTRE MALFORMAZIONI CONGENITE DELL'ORECCHIO - ALTRE MALFORMAZIONI CONGENITE SPECIFICATE DELL'ORECCHIO
Q17.9,ALTRE MALFORMAZIONI CONGENITE DELL'ORECCHIO - MALFORMAZIONE CONGENITA DELL'ORECCHIO NON SPECIFICATA
Q18.0,"ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - FESSURA, FISTOLA E CISTI D'ORIGINE BRANCHIALE"
Q18.1,ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - FISTOLA E CISTI PREAURICOLARI
Q18.2,ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - ALTRE MALFORMAZIONI DI ORIGINE BRANCHIALE
Q18.3,ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - PTERIGIO CONGENITO DEL COLLO
Q18.4,ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - MACROSTOMIA
Q18.5,ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - MICROSTOMIA
Q18.6,ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - MACROCHEILIA
Q18.7,ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - MICROCHEILIA
Q18.8,"ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - ALTRE MALFORMAZIONI CONGENITE, SPECIFICATE, DELLA FACCIA E DEL COLLO"
Q18.9,ALTRE MALFORMAZIONI CONGENITE DELLA FACCIA E DEL COLLO - MALFORMAZIONE CONGENITA DELLA FACCIA E DEL COLLO NON SPECIFICATA
Q20.0,MALFORMAZIONI CONGENITE DELLE CAVITA' E DELLE CONNESSIONI CARDIACHE - TRONCO ARTERIOSO COMUNE
Q20.1,MALFORMAZIONI CONGENITE DELLE CAVITA' E DELLE CONNESSIONI CARDIACHE - VENTRICOLO DESTRO A DOPPIA USCITA
Q20.2,MALFORMAZIONI CONGENITE DELLE CAVITA' E DELLE CONNESSIONI CARDIACHE - VENTRICOLO SINISTRO A DOPPIA USCITA
Q20.3,MALFORMAZIONI CONGENITE DELLE CAVITA' E DELLE CONNESSIONI CARDIACHE - CONNESSIONE DISCORDANTE VENTRICOLO ARTERIOSA
Q20.4,MALFORMAZIONI CONGENITE DELLE CAVITA' E DELLE CONNESSIONI CARDIACHE - CUORE BIATRIALE UNIVENTRICOLATO
Q20.5,MALFORMAZIONI CONGENITE DELLE CAVITA' E DELLE CONNESSIONI CARDIACHE - CONNESSIONE ATRIO VENTRICOLARE DISCORDANTE
